DATE,MEMBER,PRICE,PLACE,ADDRESS,LATITUDE,LONGITUDE,
2022-02-21,6,171800,벚꽃스시,서울 동작구 상도로30길 40 두산위브트레지움 B동 상가 1층 114호,37.5041749,126.9431891,
2022-02-22,23,230000,원할머니보쌈족발   상도배달점,서울 동작구 상도로15길 104 1층,37.5041749,126.9431891,
2022-02-23,4,58000,봉추찜닭   여의도주택건설회관점,서울 영등포구 국제금융로8길 25 주택건설회관빌딩 지하1층 B108호,37.5041749,126.9431891,
2022-02-09,6,80700,본도시락   동작구청점,서울 동작구 장승배기로 143-1 1층,37.5103745,126.9400146,
2022-02-13,6,73000,국풍,서울 동작구 등용로14길 82 2층,37.51263618,126.9360342,
2022-02-15,6,133000,아빠맘명품스시,서울 동작구 장승배기로19길 29 1층,37.51261367,126.9360455,
2022-02-22,6,98600,홍대돈부리,서울 관악구 청림6길 3,37.51261367,126.9360455,
2022-02-24,6,167000,원조마포갈비,서울 동작구 노량진로8길 35 1층,37.51261367,126.9360455,
2022-02-25,5,61000,천년약속,서울 동작구 노량진로 124 지층,37.51327102,126.9396108,
2022-02-28,6,120000,청와대소금구이,서울 동작구 사당로 233,37.48354586,126.9738679,
2022-02-28,3,22500,황비홍마라탕,서울 동작구 상도로30길 40 상도2차두산위브트레지움아파트 1층 108호,37.50448986,126.9423774,
2022-02-07,5,83000,차이싱,서울 동작구 장승배기로11가길 11 2층,37.50573389,126.9391673,
2022-02-11,3,30000,섬마을,서울 동작구 노량진로6길 17,37.50448986,126.9423774,
2022-02-03,4,50000,봉평산골메밀촌,서울 영등포구 도림로61길 5,37.49752861,126.9030119,
2022-02-11,5,120000,카츠진노량진점,서울 동작구 노량진로8길 21 1층,37.51276715,126.9366336,
2022-02-25,5,75000,신짱스시,서울 동작구 상도로30길 8 2층,37.50477768,126.9413452,
2022-02-25,3,73000,국풍,서울 동작구 등용로14길 82 2층,37.51263618,126.9360342,
2022-02-10,12,143000,남원골추어탕,서울 동작구 노량진로8길 34,37.51247238,126.9371965,
2022-02-17,20,115000,얌샘노량진점,서울 동작구 노량진로 110,37.51319147,126.9382196,
2022-02-21,6,162000,원조마포갈비,서울 동작구 노량진로8길 35 1층,37.51261367,126.9360455,
2022-02-04,6,69100,SaigonLee(사이공리),서울 동작구 장승배기로 151-1 1층,37.51319147,126.9382196,
2022-02-09,5,52900,딘딘향 노량진역점,서울 동작구 노량진로 144 1층,37.51343433,126.941853,
2022-02-11,6,176000,원조마포갈비,서울 동작구 노량진로8길 35 1층,37.51261367,126.9360455,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
